SAMPLE ID	CAGE	GENOTYPE	AGE	Time to cross challenge beam  (s)	Adhesive removal (s)	Time to descend Pole (s)	Errors on bean crossing (n)	Weight (g)	Gastric Emptying time (s)	Bead Expulsion time (s)	Fecal Output (n)	file_paths	uuid
CALTEC-001-ASO3_2mo	7	ASO	2 months	11.62	1.24	16.94	1	28	71.34831	2	8	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_2mo/CALTEC-001-ASO3_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_2mo/CALTEC-001-ASO3_2mo_R2.fastq.gz;	b52b147b-2a44-4492-a263-0765f20839f8
CALTEC-001-ASO4_2mo	7	ASO	2 months	8.81	10.16	20.11	3	28	63.12217	7	9	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_2mo/CALTEC-001-ASO4_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_2mo/CALTEC-001-ASO4_2mo_R2.fastq.gz;	ef2bbe5f-bdeb-4eb7-a9d1-9ffeab654484
CALTEC-001-ASO5_2mo	7	ASO	2 months	11.52	5.57	6.88	1	30.5	82.72574	1	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_2mo/CALTEC-001-ASO5_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_2mo/CALTEC-001-ASO5_2mo_R2.fastq.gz;	d306649b-631b-4e5b-a6fe-6bb3c1c2ab7a
CALTEC-001-ASO6_2mo	8	ASO	2 months	16.92	10.42	11.7	1	30	70.6	11	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_2mo/CALTEC-001-ASO6_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_2mo/CALTEC-001-ASO6_2mo_R2.fastq.gz;	fc4dc8e2-46a9-4427-8fea-15c0b27a59e9
CALTEC-001-ASO7_2mo	8	ASO	2 months	13.87	4.53	6.81	1	32.5	77.7	12	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_2mo/CALTEC-001-ASO7_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_2mo/CALTEC-001-ASO7_2mo_R2.fastq.gz;	cc38565e-3328-43a0-a807-c8d187ee3d88
CALTEC-001-ASO8_2mo	8	ASO	2 months	3.75	13.15	6.05	1	32	78.654225	4	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_2mo/CALTEC-001-ASO8_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_2mo/CALTEC-001-ASO8_2mo_R2.fastq.gz;	8280c1b0-b5ab-46f9-bcd3-5a1482cd8744
CALTEC-001-ASO9_2mo	8	ASO	2 months	4.5	5.7	5.3	1	30	65.7893	1	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO9_2mo/CALTEC-001-ASO9_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO9_2mo/CALTEC-001-ASO9_2mo_R2.fastq.gz;	37503059-872f-42df-8297-5fe3ab9b8331
CALTEC-001-ASO10_2mo	8	ASO	2 months	3.65	2.3	5.8	0	24	70.42155	4	10	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO10_2mo/CALTEC-001-ASO10_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO10_2mo/CALTEC-001-ASO10_2mo_R2.fastq.gz;	b5b948f4-e9b2-4eff-a169-becdb75377ba
CALTEC-001-ASO1_5mo	9	ASO	5 months	12.51	7.87	30	5	28.5	52.1772	74	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_5mo/CALTEC-001-ASO1_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_5mo/CALTEC-001-ASO1_5mo_R2.fastq.gz;	5d8e5e74-79a3-4a66-89a2-1de17dc934eb
CALTEC-001-ASO2_5mo	9	ASO	5 months	30	8.18	24.78	4	31.5	57.77715	60	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_5mo/CALTEC-001-ASO2_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_5mo/CALTEC-001-ASO2_5mo_R2.fastq.gz;	04ec4b07-8326-48ce-9318-1a319585e47f
CALTEC-001-ASO3_5mo	9	ASO	5 months	30	30	7.19	0	35	55.49268	58	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_5mo/CALTEC-001-ASO3_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_5mo/CALTEC-001-ASO3_5mo_R2.fastq.gz;	b97a6050-11ec-4524-8d2c-1405e88955e4
CALTEC-001-ASO4_5mo	9	ASO	5 months	30	9.36	24.81	5	34	54.8769	78	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_5mo/CALTEC-001-ASO4_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_5mo/CALTEC-001-ASO4_5mo_R2.fastq.gz;	089e9d2c-3c0c-42a0-9606-aa171ced0a95
CALTEC-001-ASO5_5mo	9	ASO	5 months	16.09	30	30	4	23	54.56	19	10	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_5mo/CALTEC-001-ASO5_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_5mo/CALTEC-001-ASO5_5mo_R2.fastq.gz;	017cd3b6-c173-4222-848a-d540c23b5f69
CALTEC-001-ASO6_5mo	10	ASO	5 months	30	13.82	30	7	28	51.34	51	4	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_5mo/CALTEC-001-ASO6_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_5mo/CALTEC-001-ASO6_5mo_R2.fastq.gz;	47d0dfb4-dcad-4c1a-a6af-226a2911b5a2
CALTEC-001-ASO7_5mo	10	ASO	5 months	22	16.14	20.48	13	32.5	57.43	14	9	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_5mo/CALTEC-001-ASO7_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_5mo/CALTEC-001-ASO7_5mo_R2.fastq.gz;	5a64ab7c-0a0f-43fd-9d55-c4c34bc43b80
CALTEC-001-ASO8_5mo	10	ASO	5 months	26.56	30	29.84	8	31.5	50.6	21	8	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_5mo/CALTEC-001-ASO8_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_5mo/CALTEC-001-ASO8_5mo_R2.fastq.gz;	0bb8a185-98d3-4d99-85b8-2ff900029244
CALTEC-001-ASO9_5mo	10	ASO	5 months	30	30	30	6	34	49.236261	16	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO9_5mo/CALTEC-001-ASO9_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO9_5mo/CALTEC-001-ASO9_5mo_R2.fastq.gz;	edc9cfd8-ff2a-4ab7-9a2d-447b713d170a
CALTEC-001-ASO10_5mo	10	ASO	5 months	26.4	25.6	26.7	6	28	52.432526	25	4	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO10_5mo/CALTEC-001-ASO10_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO10_5mo/CALTEC-001-ASO10_5mo_R2.fastq.gz;	b9c5f213-a888-4f4a-b038-71ff31fd285c
