SAMPLE.ID	CAGE	GENOTYPE	AGE	Time.to.cross.challenge.beam...s.	Adhesive.removal..s.	Time.to.descend.Pole..s.	Errors.on.bean.crossing..n.	Weight..g.	Gastric.Emptying.time..s.	Bead.Expulsion.time..s.	Fecal.Output..n.	file_paths	uuid
CALTEC-001-ASO4_2mo	7	ASO	2 months	8.81	10.16	20.11	3	28	63.12217	7	9	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_2mo/CALTEC-001-ASO4_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_2mo/CALTEC-001-ASO4_2mo_R2.fastq.gz;	0ceac968-b4df-477a-a992-c1581800c1a6
CALTEC-001-ASO5_2mo	7	ASO	2 months	11.52	5.57	6.88	1	30.5	82.72574	1	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_2mo/CALTEC-001-ASO5_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_2mo/CALTEC-001-ASO5_2mo_R2.fastq.gz;	d0946971-9b22-49c5-985b-9786a2217873
CALTEC-001-ASO6_2mo	8	ASO	2 months	16.92	10.42	11.7	1	30	70.6	11	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_2mo/CALTEC-001-ASO6_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_2mo/CALTEC-001-ASO6_2mo_R2.fastq.gz;	032a3475-2fe2-4180-b953-a7730b7aa363
CALTEC-001-ASO7_2mo	8	ASO	2 months	13.87	4.53	6.81	1	32.5	77.7	12	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_2mo/CALTEC-001-ASO7_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_2mo/CALTEC-001-ASO7_2mo_R2.fastq.gz;	38e7668c-f021-4d8c-bf15-e91aed435939
CALTEC-001-ASO8_2mo	8	ASO	2 months	3.75	13.15	6.05	1	32	78.654225	4	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_2mo/CALTEC-001-ASO8_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_2mo/CALTEC-001-ASO8_2mo_R2.fastq.gz;	35a9e8ea-8db2-4504-bb2e-7d6d765b3fcb
CALTEC-001-ASO9_2mo	8	ASO	2 months	4.5	5.7	5.3	1	30	65.7893	1	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO9_2mo/CALTEC-001-ASO9_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO9_2mo/CALTEC-001-ASO9_2mo_R2.fastq.gz;	c03124aa-e142-47de-a8f1-aa130e518be9
CALTEC-001-ASO10_2mo	8	ASO	2 months	3.65	2.3	5.8	0	24	70.42155	4	10	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO10_2mo/CALTEC-001-ASO10_2mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO10_2mo/CALTEC-001-ASO10_2mo_R2.fastq.gz;	74a8f938-9e96-41a2-a3fe-e65008ac7dfe
CALTEC-001-ASO1_5mo	9	ASO	5 months	12.51	7.87	30	5	28.5	52.1772	74	5	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_5mo/CALTEC-001-ASO1_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO1_5mo/CALTEC-001-ASO1_5mo_R2.fastq.gz;	f0da23a1-64bc-493c-950e-2e799fcbba29
CALTEC-001-ASO2_5mo	9	ASO	5 months	30	8.18	24.78	4	31.5	57.77715	60	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_5mo/CALTEC-001-ASO2_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO2_5mo/CALTEC-001-ASO2_5mo_R2.fastq.gz;	825e4dc7-75f8-4e18-babc-d3db6bb02b9e
CALTEC-001-ASO3_5mo	9	ASO	5 months	30	30	7.19	0	35	55.49268	58	3	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_5mo/CALTEC-001-ASO3_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO3_5mo/CALTEC-001-ASO3_5mo_R2.fastq.gz;	eeb97c7a-436c-4696-8222-471cbba65bff
CALTEC-001-ASO4_5mo	9	ASO	5 months	30	9.36	24.81	5	34	54.8769	78	7	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_5mo/CALTEC-001-ASO4_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO4_5mo/CALTEC-001-ASO4_5mo_R2.fastq.gz;	7fe274a0-2c27-432c-adb6-760ea7f6921e
CALTEC-001-ASO5_5mo	9	ASO	5 months	16.09	30	30	4	23	54.56	19	10	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_5mo/CALTEC-001-ASO5_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO5_5mo/CALTEC-001-ASO5_5mo_R2.fastq.gz;	9139eb35-a851-408d-957e-e114b4e281f9
CALTEC-001-ASO6_5mo	10	ASO	5 months	30	13.82	30	7	28	51.34	51	4	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_5mo/CALTEC-001-ASO6_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO6_5mo/CALTEC-001-ASO6_5mo_R2.fastq.gz;	8d21924c-5fa0-4443-995f-db38dea7c616
CALTEC-001-ASO7_5mo	10	ASO	5 months	22	16.14	20.48	13	32.5	57.43	14	9	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_5mo/CALTEC-001-ASO7_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO7_5mo/CALTEC-001-ASO7_5mo_R2.fastq.gz;	248e766b-f49d-4ca8-b0b8-ce4e070683a4
CALTEC-001-ASO8_5mo	10	ASO	5 months	26.56	30	29.84	8	31.5	50.6	21	8	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_5mo/CALTEC-001-ASO8_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO8_5mo/CALTEC-001-ASO8_5mo_R2.fastq.gz;	21892b69-750d-46cc-b286-973972b71827
CALTEC-001-ASO9_5mo	10	ASO	5 months	30	30	30	6	34	49.236261	16	6	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO9_5mo/CALTEC-001-ASO9_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO9_5mo/CALTEC-001-ASO9_5mo_R2.fastq.gz;	2a44db6c-299c-44e6-987a-621001ccbf0d
CALTEC-001-ASO10_5mo	10	ASO	5 months	26.4	25.6	26.7	6	28	52.432526	25	4	/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO10_5mo/CALTEC-001-ASO10_5mo_R1.fastq.gz;/shares/CIBIO-Storage/CM/scratch/data/meta/CM_caltec_001_1024/CALTEC-001-ASO10_5mo/CALTEC-001-ASO10_5mo_R2.fastq.gz;	67d13e24-cbbf-4007-a008-093b173953b2
