study_name	BioProject	sample_id	NCBI_accession	uuid
BoktorJC.2_2023	PRJEB53401	SAMEA110061142	ERR9830111	c2354109-7147-437f-ab75-3b0e0b0e3777
BoktorJC.2_2023	PRJEB53401	SAMEA110061143	ERR9830112	18c2ce66-7801-4561-9c68-4dad5218318f
BoktorJC.2_2023	PRJEB53401	SAMEA110061144	ERR9830113	f12a5c37-e509-446f-943b-070a953a15bf
BoktorJC.2_2023	PRJEB53401	SAMEA110061145	ERR9830114	a9982df3-ebc2-4f16-8ab3-52dc2d4bd21f
BoktorJC.2_2023	PRJEB53401	SAMEA110061146	ERR9830115	8437518c-c456-4c33-91d9-cd7f72588725
BoktorJC.2_2023	PRJEB53401	SAMEA110061147	ERR9830116	6f299192-84ab-4543-b421-8aa976aac105
BoktorJC.2_2023	PRJEB53401	SAMEA110061148	ERR9830117	02aabbdf-8840-4a98-98b0-bec286b6339d
BoktorJC.2_2023	PRJEB53401	SAMEA110061149	ERR9830118	b0f0cf77-4878-41bd-8df3-221c3338e5e9
BoktorJC.2_2023	PRJEB53401	SAMEA110061150	ERR9830119	017a20e6-391c-4e61-96c9-c306cb79a529
BoktorJC.2_2023	PRJEB53401	SAMEA110061151	ERR9830120	ef7f4b71-8bbb-4c6e-9d55-bc573a066cc4
BoktorJC.2_2023	PRJEB53401	SAMEA110061152	ERR9830121	3a5f0fe3-2257-40f8-8cdb-467692017a2c
BoktorJC.2_2023	PRJEB53401	SAMEA110061153	ERR9830122	a689c8cd-8781-4a24-bf96-bfa8fd099d39
BoktorJC.2_2023	PRJEB53401	SAMEA110061154	ERR9830123	e5f95fff-f01a-4bb1-8210-79920a14599e
BoktorJC.2_2023	PRJEB53401	SAMEA110061155	ERR9830124	59f8fe55-503a-4ae9-b698-0560fb62710a
BoktorJC.2_2023	PRJEB53401	SAMEA110061156	ERR9830125	31dda582-649d-44e3-be24-8374f97888ca
BoktorJC.2_2023	PRJEB53401	SAMEA110061157	ERR9830126	aa26e012-2cd9-4a66-a5db-d606587830fc
BoktorJC.2_2023	PRJEB53401	SAMEA110061158	ERR9830127	76a11d37-604f-453f-a083-a5e83cb43456
BoktorJC.2_2023	PRJEB53401	SAMEA110061159	ERR9830128	a8b48eac-fe62-4701-a223-01a749a6318f
BoktorJC.2_2023	PRJEB53401	SAMEA110061160	ERR9830129	d1e2fb5c-c3f3-49a9-b544-9e2230744576
BoktorJC.2_2023	PRJEB53401	SAMEA110061161	ERR9830130	ef6339cf-801c-4b70-8399-e4a1343d5807
BoktorJC.2_2023	PRJEB53401	SAMEA110061162	ERR9830131	2c05942b-bb83-468d-8117-0282f86684b4
BoktorJC.2_2023	PRJEB53401	SAMEA110061163	ERR9830132	84abf4c7-0b89-47cc-bc8c-5fd4da971375
BoktorJC.2_2023	PRJEB53401	SAMEA110061164	ERR9830133	7499409b-1742-441c-8618-0bf7be8d4ef1
BoktorJC.2_2023	PRJEB53401	SAMEA110061165	ERR9830134	039c8601-459a-4149-8d04-4155e80438e7
BoktorJC.2_2023	PRJEB53401	SAMEA110061166	ERR9830135	a8835bb7-9af6-449e-8c14-d78e9f33339d
BoktorJC.2_2023	PRJEB53401	SAMEA110061167	ERR9830136	c744d1a0-2430-448d-8f17-d9cace2e7d21
BoktorJC.2_2023	PRJEB53401	SAMEA110061168	ERR9830137	5ea1a2f9-60c1-4618-9ce2-0400be68ee78
BoktorJC.2_2023	PRJEB53401	SAMEA110061169	ERR9830138	bb9dc0b3-8316-4402-88db-834de5809b5f
BoktorJC.2_2023	PRJEB53401	SAMEA110061170	ERR9830139	123f1d6b-b951-4066-b57d-9c69f17d45bf
BoktorJC.2_2023	PRJEB53401	SAMEA110061171	ERR9830140	e4aae64a-e709-459d-a807-d5e1d4da8ec8
BoktorJC.2_2023	PRJEB53401	SAMEA110061172	ERR9830141	be986a28-dccc-46b0-8929-e56eb462dabc
